Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1660773087,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1660773088,1,,Aggregated,0.000000,0.000000,360,360,360,360,360,360,360,360,360,360,360,2,0,180.0,268.21048399999995,178.34317499999986,358.0777930000001,1500.0
1660773089,2,,Aggregated,0.000000,0.000000,360,360,380,380,380,380,380,380,380,380,380,4,0,180.0,273.03369825000004,176.17236400000013,379.5414610000003,1500.0
1660773090,3,,Aggregated,0.000000,0.000000,330,330,360,360,380,380,380,380,380,380,380,6,0,180.0,265.7048448333333,169.63003899999984,379.5414610000003,1500.0
1660773091,4,,Aggregated,2.000000,0.000000,330,340,360,360,380,380,380,380,380,380,380,8,0,180.0,263.477415125,169.63003899999984,379.5414610000003,1500.0
1660773092,5,,Aggregated,2.000000,0.000000,330,340,350,360,380,380,380,380,380,380,380,9,0,330.0,273.4144616666667,169.63003899999984,379.5414610000003,1343.5555555555557
1660773093,5,,Aggregated,2.000000,0.000000,340,350,360,380,4800,4800,4800,4800,4800,4800,4800,10,0,330.0,723.1264974,169.63003899999984,4770.5348189999995,1212.7
1660773094,5,,Aggregated,2.000000,0.000000,340,360,380,380,4800,5200,5200,5200,5200,5200,5200,11,0,340.0,1128.3234237272727,169.63003899999984,5180.292687,1105.6363636363637
1660773095,5,,Aggregated,2.000000,0.000000,340,360,380,380,4800,5200,5200,5200,5200,5200,5200,11,0,340.0,1128.3234237272727,169.63003899999984,5180.292687,1105.6363636363637
1660773096,5,,Aggregated,2.000000,0.000000,340,360,380,380,4800,5200,5200,5200,5200,5200,5200,11,0,340.0,1128.3234237272727,169.63003899999984,5180.292687,1105.6363636363637
1660773097,5,,Aggregated,1.375000,0.000000,350,380,4800,5200,6400,7500,7500,7500,7500,7500,7500,13,0,350.0,2021.226433,169.63003899999984,7469.854541999999,940.9230769230769
1660773098,5,,Aggregated,1.375000,0.000000,350,380,4800,5200,6400,7500,7500,7500,7500,7500,7500,13,0,350.0,2021.226433,169.63003899999984,7469.854541999999,940.9230769230769
1660773099,5,,Aggregated,1.222222,0.000000,360,4600,4800,5200,6400,7500,7500,7500,7500,7500,7500,14,0,350.0,2206.4277535,169.63003899999984,7469.854541999999,1030.5714285714287
1660773100,5,,Aggregated,1.200000,0.000000,360,4600,5200,6400,7300,7500,7500,7500,7500,7500,7500,15,0,360.0,2543.7369912,169.63003899999984,7469.854541999999,1108.2666666666667
1660773101,5,,Aggregated,1.200000,0.000000,360,4600,5200,6400,7300,7500,7500,7500,7500,7500,7500,15,0,360.0,2543.7369912,169.63003899999984,7469.854541999999,1108.2666666666667
1660773102,5,,Aggregated,1.000000,0.000000,380,4700,5200,5200,7300,7500,7500,7500,7500,7500,7500,16,0,360.0,2678.86594725,169.63003899999984,7469.854541999999,1176.25
1660773103,5,,Aggregated,0.900000,0.000000,360,4700,4800,5200,7300,7500,7500,7500,7500,7500,7500,17,0,360.0,2536.0723905882355,169.63003899999984,7469.854541999999,1282.1176470588234
1660773104,5,,Aggregated,0.700000,0.000000,360,4700,5200,6100,7300,7500,7500,7500,7500,7500,7500,20,0,350.0,2487.52834255,169.63003899999984,7469.854541999999,1201.6
1660773105,5,,Aggregated,0.700000,0.000000,360,4700,5200,6100,6400,7300,7500,7500,7500,7500,7500,22,0,350.0,2563.3817283636363,169.63003899999984,7469.854541999999,1102.2727272727273
